x,y,z
167.3245579887863,345.4601333277576,a
174.85109895593214,354.9271989796816,a
244.4202961634552,339.64107453267326,a
175.02029073566837,317.4803879073327,a
211.0373873347296,374.8935769625567,a
198.23801664877195,387.4946328440575,a
210.03372679373012,390.2867056081128,a
192.92657388810147,349.04501244755994,a
198.08438696092455,322.8217095092026,a
142.6465461524191,355.51884513847847,a
193.39068182727098,322.91645510836616,a
135.07342822946097,323.7967904772453,a
160.16042876344363,341.21803819239256,a
185.92626398165908,277.8920144148838,a
214.32273116285097,260.38812882480914,a
225.8632267389504,285.4032728787894,a
192.78619050473893,345.88700485909993,a
235.65744921980863,297.5634178211115,a
228.63303851398973,322.3589041449479,a
224.5895218512584,337.7140467374427,a
220.70223015588266,323.3785446363117,a
298.15838851560653,348.1593236481579,a
259.50559190724243,354.06727173977646,a
253.80449719617312,382.0541588338287,a
255.3187759013252,375.9552442246163,a
249.5798880020617,341.46378174269194,a
239.251169440086,384.16712015999195,a
236.60503997674215,363.0812170198359,a
192.92609187751623,392.9613949038013,a
169.41831109379675,341.7837768874814,a
253.31554734096682,372.43458415421065,a
156.79003641350926,308.80765398789583,a
196.4835764530832,302.54843669706673,a
174.68213398211526,311.7312258152226,a
173.08449562338,339.8571039349555,a
215.21750023613885,326.2198265230834,a
171.4889060345105,327.44646032668453,a
169.06599570793358,339.2911898762029,a
187.62755643595762,305.61513726077646,a
224.9782088985934,306.7505334834989,a
204.96215316918014,335.39245059769013,a
256.04613010514356,353.3337801672352,a
277.0499912273578,312.7437442763546,a
265.1880104109286,352.71686482074404,a
233.93648915923114,346.11177178708255,a
222.60400256570688,370.805518501243,a
199.9371465555621,285.5302819353668,a
234.60769277289043,376.4991846673634,a
232.7231624951595,366.27790635841575,a
188.29442455535292,362.1834343036805,a
183.31816637889037,413.6668149765391,a
157.96367839856524,365.41925256238176,a
88.07369126277592,365.8659855924416,a
82.60568725466993,365.28364778785004,a
87.03143429747148,351.8443264394573,a
69.31635558939335,394.0493823492811,a
135.62113289986607,318.7117048438996,a
91.13573372279316,315.8043370319149,a
126.2331002758939,325.35240502502535,a
149.61736717046472,275.80984120570326,a
213.71010653988958,255.6482510186553,a
171.07196184853396,237.01667936916584,a
184.88503067946408,272.05007881989445,a
300.7466348177618,307.26253086354143,a
261.8330002781538,281.58008244096936,a
272.8808882855269,238.12748704652472,a
296.1672797656685,269.3367990763919,a
296.3787251871471,306.4631586607124,a
328.46190903757395,347.3916928949453,a
319.9440340861004,301.1529395054599,a
301.39119913680037,341.2839851336044,a
326.0694350929034,372.0504939080252,a
322.4538555950403,360.50420842992764,a
266.315434857136,351.762685770969,a
238.49368138217926,366.2063434331187,a
197.81585432469873,372.5330436882025,a
221.47937590169786,378.65156412305174,a
134.6714886860606,341.9599566957422,a
155.52692760273644,326.1409195626511,a
100.69199292102698,265.1762495306317,a
133.32838315056125,357.0729457562679,a
124.24541379345881,306.76869634892074,a
167.5517636416996,357.93213464023256,a
113.54680615591967,266.9603584522355,a
72.55630608996987,288.4379558484043,a
119.90919514266105,308.31519686345734,a
159.31704117732738,278.6238659437806,a
149.35750690162797,286.84942870310067,a
167.42565325787885,288.899541631736,a
172.76774331391806,287.323990103706,a
191.03214079177803,242.1504454646306,a
213.11352454806317,278.50620510331885,a
235.55959869715127,326.32495098477386,a
179.4881666284796,235.22293272773402,a
229.4869658200714,345.72579768608506,a
257.6590891493142,291.1781658607183,a
223.0207231099766,281.8470097105454,a
219.40200192894906,319.30243851927276,a
191.8423293771997,347.48916889299426,a
232.64488983675076,401.53291157450656,a
206.91120310567857,389.02273071166593,a
172.1156765475478,390.62962778036115,a
217.83175286642296,396.04740443659654,a
188.02478570253723,349.2356876332775,a
225.3083855403882,335.6614868728109,a
134.22308058454826,376.29828108823483,a
136.47687622889075,333.75366632415876,a
176.35078632630515,312.0056148737703,a
106.76671526480601,319.99897170943973,a
103.656746520868,287.17746161481193,a
136.8064357268141,236.5733308390686,a
149.46140559306122,220.60813747470894,a
191.8478898122226,237.77128440516043,a
182.68368210827396,219.22982257360326,a
246.7405836441954,245.87173940242442,a
200.296012750261,201.7044478410981,a
185.15725732946962,230.04797566233225,a
199.97006599760297,253.9155215966709,a
189.54605837557045,272.8007468262209,a
193.09533818723463,307.2447323238268,a
200.65863983675382,297.5973520974892,a
217.52396643951872,358.83932499762443,a
244.01001845328412,362.171597900481,a
247.02437535756903,375.181672906614,a
187.71255530109903,357.8404925310896,a
210.13275730454592,376.45159058621914,a
208.69452203918593,384.95799861498017,a
186.21210653691955,351.0286457685106,a
134.18617118611007,371.3926762349627,a
151.77819921906934,319.5986704391721,a
158.48651063249,312.3866364195476,a
135.69986403985075,292.14455560056837,a
144.225248992864,260.4133895208296,a
156.69598956312433,280.8127898097832,a
187.59911097189985,316.804594332091,a
139.30319832258056,301.6502636277857,a
214.6735494415154,272.5706540754654,a
232.74749076884527,276.7499101334273,a
238.46015654575552,253.7013320744153,a
215.0261041596126,330.04631765109,a
246.38651522555392,286.68261177156216,a
226.47006632997667,361.7508836685281,a
191.14453516925062,365.65926041161424,a
228.0597420413156,356.7712499570228,a
242.9670233641081,366.6091539820611,a
284.2963029287606,329.2170180446718,a
230.6822919571595,338.8166707714135,a
258.2715725915431,325.13844434191327,a
189.93293427614924,341.19195381979716,a
172.4471390987693,336.0531520335112,a
149.70341530609937,331.61019711116535,a
181.80183553076537,303.1614098156758,a
180.38571785452584,306.78526171169153,a
185.47312258164177,272.61730444921216,a
187.86197176855026,302.47466013685096,a
195.17238206134664,278.91137474130915,a
223.0741793304935,292.4844374508133,a
226.35699325821778,314.2814303494992,a
251.22540966228496,267.4560998685515,a
211.2096577948598,237.9870301055356,a
286.9521370976129,311.8932743958071,a
223.73631427411283,286.66707554662867,a
279.0085857720463,325.67600280337626,a
244.94662708661514,318.11565678689556,a
223.00452838728,336.5869214516289,a
276.35307118322993,332.63005605714875,a
259.34612239621237,401.544863059788,a
238.21222952079165,326.05219882860916,a
223.08924216623086,349.43964629939086,a
166.66452621918378,369.24051377889487,a
177.4306446686201,339.706759998031,a
145.6592194379915,340.77928831115116,a
149.01154288294046,331.8733678831013,a
93.9670586537691,296.4852019017117,a
84.30231126418576,281.20335975701363,a
123.60833581233955,252.21615631279928,a
154.34667285060004,283.9607013640267,a
162.00564186415465,295.6501155629172,a
176.27275356256519,239.27828084914591,a
148.42556900933891,283.49932634007826,a
156.6835825885282,287.1062431245026,a
178.72403203972362,249.73906393540673,a
211.03129396973955,290.16009798477216,a
161.72518953821225,283.5231123236251,a
541.7429161551311,413.1066314061236,a
580.867614104649,352.1826843959676,a
552.9635066868792,387.41816288649187,a
