x,y,z
67.13984467454803,133.94447607397893,a
36.40704282930629,118.67575544834324,a
27.563886032168273,131.49806554752274,a
63.930903387901004,192.44484890408847,a
113.8514881849377,162.90230475162502,a
83.8041695258502,235.69484329436688,a
102.37403161267514,275.70869245899394,a
76.14933753721941,279.46874814345443,a
97.08845862677998,270.94744282474676,a
64.03418988662693,274.09452313204093,a
151.4301605611369,296.9660293693812,a
154.1152632952375,324.3094367693268,a
141.18312281523157,333.1391665509788,a
158.6968775891541,354.77249099420294,a
144.30230390331792,328.2175998010709,a
163.0591518308597,324.2019730145623,a
151.1408524624103,380.85589281381834,a
174.22448802873905,360.87418185056737,a
149.44019181807977,413.493110206591,a
152.39072726125562,395.1773888055401,a
234.0325393627468,396.20995622515625,a
189.55221315475794,369.61607108990427,a
124.24033805267689,287.00386983112867,a
141.7476665639827,304.3868801060727,a
119.79138319723245,258.65109009835936,a
87.35071119747658,246.5850109560912,a
103.74785705212994,211.10753165061124,a
66.90034750049817,270.43653251423456,a
100.34769097454864,187.33986232562597,a
81.33655124593778,227.68706588285892,a
122.16852248095742,236.0547033223002,a
148.98254496561862,167.63150290212963,a
103.84360267522682,115.96594720566651,a
51.922910875570565,178.35358061827344,a
54.39435156952971,141.75298986299453,a
6.212798890774977,139.01553010488306,a
52.302177910552956,130.99331535300837,a
95.96775624014901,152.5895314835518,a
87.99826457350738,144.10813223601747,a
90.1672541491904,145.38530243854024,a
90.47280853090045,174.78510929899016,a
43.10364645522943,158.7536412700564,a
61.87369490310252,219.50702864456912,a
102.80420510771653,272.5237171210783,a
92.26717026373046,249.82408689606166,a
79.94622483371003,278.89766699395113,a
159.37228743068377,271.2527954410142,a
100.87364832264585,330.3189923473856,a
121.8925035350668,313.0314274925929,a
120.99597254894937,375.0896542740039,a
162.4855393216214,400.2357591652609,a
175.86590775008548,337.6262751821753,a
193.60429805701278,376.5707343396017,a
218.28717155238525,438.5698652328632,a
219.7798735652369,363.94591662334375,a
210.14525665322464,343.84168230090006,a
223.2825913416723,419.2868062527464,a
265.28856558891067,381.56865940184184,a
246.69248663222567,350.23155964994527,a
299.71190512245727,359.11250356258097,a
272.42109183757617,385.6234798172409,a
246.552303404676,314.39950139373457,a
290.1487364101713,323.6194604098997,a
348.32796814514035,308.6038082463088,a
314.8288119822846,302.89714314023763,a
327.88512401618647,311.5280705304847,a
317.11821797209234,262.69983411017375,a
330.7272604965756,275.90289982321224,a
316.07880651268493,261.92955885023036,a
337.8273889726418,256.7364078707754,a
367.48731033115234,293.4348509059688,a
391.82471808510707,271.3039802213505,a
385.08176034759384,282.8782951151644,a
375.851943550897,266.23365190520167,a
360.59630193789377,285.50235698268614,a
370.17702548721394,297.13141424604225,a
375.27907253519226,297.732355790528,a
312.50373849638447,340.8292901899532,a
323.89280973156235,339.4428052005703,a
275.1586999153946,378.45397664979555,a
276.1688797185384,340.8710367617212,a
262.90957489597366,388.29405597075186,a
247.21148535544933,354.2439340907957,a
240.74111512616219,318.4759945531679,a
231.985762326685,402.9317674547119,a
213.3497239259258,388.53386872276985,a
217.24686729260105,356.2784067796631,a
185.10698082885392,345.14293754370743,a
208.50920079364127,358.2465194370705,a
224.2153852744277,323.585867540158,a
301.83615126353874,319.6414103849487,a
312.5975724009763,360.4266082112069,a
267.50320031436513,311.0444483175402,a
323.51372893013524,335.3328158156553,a
296.46338551915034,298.58748661232505,a
334.4336941865927,305.0778318308853,a
334.9055990830971,366.39933921169,a
280.09010094680156,348.7442205180448,a
218.20598290814632,360.20414423340856,a
176.81917541220827,340.2609929227715,a
236.25037102848566,297.58346469709204,a
234.94139368126517,341.8036040109856,a
223.93123239920556,360.9824151971229,a
219.358908149223,334.67771708385175,a
300.6781876353706,288.4752719739122,a
286.67734078883234,290.2087133666264,a
278.2718017209112,310.95473033942665,a
277.2918390144147,263.16418049020604,a
214.08116349131507,302.63233175420925,a
211.3546788661394,279.7898413477595,a
198.31469153737658,349.43798999949007,a
235.25564892623612,356.7933093848003,a
224.80590600498385,337.69865662679547,a
170.30416834654625,320.1032139938694,a
217.55023949078972,329.89331220626275,a
174.77048716090178,356.0125304225051,a
198.57950674363934,289.89877021436064,a
148.70134577019047,310.8481498694308,a
187.06688034197177,333.82766531419,a
149.48302253518276,252.54421722342266,a
145.56365243402544,239.85901329283837,a
165.95934382082777,233.0464135684399,a
160.5246865183084,220.7671437284892,a
124.89933277588035,201.92786813783164,a
54.31918153957363,264.99659051525816,a
113.89063928477485,225.25828277360233,a
105.15073974846479,180.80983491769695,a
55.582884507580104,181.35921588652752,a
150.0285378689479,186.67649487274707,a
76.59311424146867,153.91410148214715,a
84.9745233355128,195.74066063137053,a
140.83927665212624,228.0410219321409,a
183.6199808210719,256.94566513777045,a
159.9761157708454,288.12249638670573,a
159.8608195687761,219.14844785265484,a
213.79395451692704,279.34557928806464,a
165.16375880319842,314.81268981431407,a
188.68682498888435,265.2924898702979,a
256.1358555840058,304.71994075653106,a
221.53525640451875,256.871076071508,a
198.34257138818674,305.36588460252585,a
271.23631894270954,282.90229221435516,a
286.4990476963104,265.0400189252286,a
343.3042903791246,277.14395740416046,a
345.5889274215004,201.45617292993785,a
314.5849395007779,210.72638577844305,a
335.26670111593523,213.6457134619505,a
380.91887006244207,231.6154326645941,a
330.45761336881407,229.35644980092343,a
386.8087208707076,208.13044429568038,a
403.1236566185438,225.6567101630228,a
409.7334051415595,223.59591120385437,a
412.1857445323897,204.83892243450094,a
411.9863330207124,199.26079656087956,a
452.34571903824724,105.26487067011385,a
502.53066905453414,152.43787195058349,a
480.69196069216065,188.8438539188403,a
447.79623799585164,168.2320425097198,a
479.38752529006206,151.55966568180588,a
502.28633716923355,176.25339024956708,a
395.84799599840983,256.2561507240455,a
430.9926326640594,254.03597944291798,a
397.5297014507597,211.51218535370725,a
370.1580791101369,245.99896620282826,a
418.9453864326031,293.99697045136463,a
357.56359325448057,298.5035595155457,a
369.47194857696945,312.05529223546614,a
395.7810845721895,294.4171118266255,a
360.5949959568453,258.07371812893103,a
369.22526196451844,305.1022444486084,a
345.19454464066416,254.74329141388642,a
412.264842966345,309.777174013764,a
460.4575699721641,230.33191317659146,a
483.0804921181141,177.2293990776194,a
421.9667734093654,225.71526262561395,a
523.3147546441985,207.83595115073382,a
525.8986737593383,196.03493983748314,a
486.0602768603578,197.0657809650417,a
467.6001461761542,172.8914418004444,a
466.29871084441703,183.84887204038546,a
456.71826187654324,221.6305087776105,a
460.9288064860678,270.68789922234544,a
383.48617233179124,295.5774096193092,a
404.69276241858626,323.30920802623933,a
385.93555615240956,352.6590662050834,a
354.039467220187,316.5391992840606,a
383.00503406227136,362.0334352288468,a
359.97640354118664,373.4527585316399,a
357.03805340959985,311.40199479253005,a
443.9836572644669,336.8816437008119,a
480.8768841217918,231.26670854964732,a
486.18190990173935,252.0185230744286,a
445.7091559941048,245.2319743192832,a
478.94973977897865,197.10680997872043,a
381.33151471075655,261.1246989835188,a
370.5762896708493,264.36732883811686,a
378.29190523487284,275.44873022521085,a
354.89898830139106,230.38674533444566,a
426.9807244314731,230.26036066200498,a
490.2417931414679,209.07561840758427,a
571.3014052979524,220.8526894771477,a
533.4797116972976,178.34869907507039,a
535.8244777862191,207.2166300920067,a
538.5639840807345,196.21563996963295,a
551.400215124322,234.2083639779421,a
553.111215676848,200.34916727502014,a
561.0143594278795,237.1092210794244,a
488.37368626089557,209.33128365198183,a
499.95969601997444,258.49423764242306,a
513.6923760538458,206.58353840855563,a
486.7925595529024,269.8163546143747,a
488.4361092069517,242.93752072725243,a
469.3442378305324,233.9089993322732,a
542.2239665387488,205.99138077425891,a
552.0959931566939,276.9343980380204,a
506.224955250753,255.81098891321687,a
521.1942560066561,279.92318224806183,a
502.20222679814316,250.684558099897,a
513.1065157405941,233.23222596073094,a
474.42418013760465,242.02316116858776,a
438.9723070930471,198.319221828806,a
492.25503784278686,220.7109775484367,a
448.4723706508682,179.0528500312791,a
514.7494587925595,231.47855978833599,a
477.7628304543747,138.86341609577005,a
561.1159726687969,228.2257691139419,a
549.5852395779219,239.8327611756224,a
512.9738002364945,191.40131987605554,a
577.3078079917801,225.99419367846355,a
603.152579164141,247.35449537144643,a
644.649703259147,243.59203687301567,a
654.0662298577457,295.7049215494576,a
659.3347301190046,286.88033997823834,a
639.7650382198614,319.5728749957682,a
666.2887483613265,295.4949751849912,a
678.3472986961839,299.50513667916516,a
627.9493687115992,263.5913116554907,a
714.21640442188,269.0687057175752,a
654.4753533527063,307.04342110155676,a
680.6891647625425,293.04130330614515,a
557.1509517424118,264.96607154188223,a
513.7347596208135,307.0611519224591,a
507.12082690881806,260.56762220113376,a
577.511026493955,208.56299073050684,a
524.8097771501824,265.4682762217866,a
539.8470198531488,239.92574931426464,a
514.4753760594565,225.81350997570394,a
552.8231191954796,244.5207343390734,a
538.56174290203,269.33836227362906,a
528.6273551882011,291.37703833650187,a
495.7754228796497,300.7433317754469,a
484.64360140223175,236.64484496259314,a
465.13365079030854,262.8571127472226,a
409.83967998863534,272.8901356144771,a
442.6526745997084,264.9078016303321,a
448.24734529967765,194.41575305088736,a
469.695183818307,276.2598162714119,a
546.2388715331653,265.4812294533534,a
547.6294638685291,297.0799342798566,a
603.2181813576335,293.7185372941358,a
566.3180559503203,326.71624508524064,a
626.0715483068229,351.31096619161985,a
606.4970233304882,427.15387586528084,a
626.1325474294495,354.5911796432814,a
627.2567539094116,409.5319231291745,a
654.8970788386614,421.42246626737773,a
685.844380181745,372.38911195519603,a
648.1018063941478,433.43462440666167,a
661.4470945040052,380.6709201394025,a
672.1499506055651,380.4628059683048,a
628.2907603326923,321.58819966677254,a
653.390244943547,398.30249270909843,a
629.4274229022318,371.51404795046994,a
635.4702720868528,384.62864266495086,a
668.7830234823667,317.62945113229705,a
668.7470572588734,364.7373923426106,a
692.754327176312,301.99414688077786,a
702.3778518428652,341.31173472822695,a
700.2766874307873,328.8514997943,a
633.7431447549296,285.0624538669846,a
717.1278142339225,318.42611603772684,a
719.1359521727919,359.80561163270556,a
687.9033504529497,285.645789213827,a
688.9187169517058,332.6890862245593,a
676.8903518357948,263.22654893259676,a
689.8492160364202,268.7939105871378,a
709.7077332215214,303.99508843228625,a
731.2101784066533,255.67798909939452,a
694.0675249204087,274.66366532626495,a
709.0067398510571,284.0183089030528,a
720.2436382407303,246.65962938204626,a
720.714518398955,266.9629696536453,a
696.8051261424511,248.09888778504825,a
735.6472136216812,218.35609628869508,a
694.069980415954,259.7907617319182,a
575.1284650856135,283.5853583502975,a
641.961941089281,256.71661492448766,a
588.3574912992126,317.3958697075951,a
624.9217751320817,308.1516571396162,a
620.1562908479626,311.1741670619561,a
660.3773631931659,333.3036978649536,a
643.0650869710222,337.5138250363617,a
681.3222450652905,352.90587636877365,a
659.4858853125346,349.78287491941484,a
630.7570163092,344.0544343592509,a
580.6656649044443,283.61073313118357,a
561.5096539570274,318.8930267954657,a
574.1659551187774,328.5957358122524,a
565.8085278535898,267.7242404219138,a
647.2037489626763,278.6054118072036,a
634.8944600091246,245.94156223595968,a
693.5322284634244,290.6158727933197,a
663.8925444623817,289.3671779887025,a
661.8653122383728,308.6047959234284,a
658.7783041668409,292.88121434234915,a
616.0831263133517,245.9872436449289,a
661.3161364159873,280.1033856017806,a
639.0873175617992,222.49473746886616,a
674.4296603192139,242.5895490254918,a
705.6497333401354,239.56345367460614,a
683.2918740552733,223.82168197959533,a
747.911105206858,269.84658388195135,a
676.1682051870323,244.06658813554722,a
654.6201372243962,236.16732323792974,a
604.1259082480242,265.0486494854903,a
544.9940523520916,217.5995966828774,a
576.0158006679886,283.405922232575,a
527.1898107958984,224.5229265703715,a
509.5600189855884,242.91364796723968,a
596.2126236182129,296.300832533471,a
546.1426777994734,315.7877434001572,a
667.7854306635678,344.28118935964307,a
568.5158026639601,314.4146444794018,a
612.2511345792253,330.5129790559694,a
560.0329682741345,278.4025355130761,a
532.3252246145697,249.30038503051387,a
